1	1.199	1.202	1.202	1.2	1.2	
2	0.607	0.61	0.604	0.599	0.618	
3	0.406	0.418	0.437	0.418	0.426	
4	0.332	0.332	0.32	0.322	0.319	
5	0.25	0.254	0.262	0.253	0.259	
6	0.215	0.214	0.219	0.219	0.219	
7	0.184	0.187	0.187	0.189	0.19	
8	0.157	0.156	0.158	0.16	0.161	
9	0.154	0.155	0.156	0.155	0.161	
10	0.153	0.15	0.152	0.149	0.15	
11	0.146	0.144	0.145	0.149	0.15	
12	0.148	0.143	0.147	0.148	0.149	
13	0.151	0.148	0.15	0.152	0.153	
14	0.156	0.152	0.154	0.155	0.155	
15	0.157	0.153	0.155	0.156	0.157	
16	0.163	0.156	0.158	0.159	0.16	
